18014398509481985,carried
18577349000302608,carried
18577349000302736,carried
18577349000302864,carried
18577349000302992,carried
18577349000303120,carried
18577349000303248,carried
18577349000303376,carried
18577349000303504,carried
18577349000303632,carried
18577349000303760,carried
18577349000303888,carried
18577349000304016,carried
18577349000304144,carried
18577349000304272,carried
18577349000304400,carried
18577349000304528,carried
18577349537173520,carried
18577349537173648,carried
18577349537173776,carried
18577349537173904,carried
18577349537174032,carried
18577349537174160,carried
18577349537174288,carried
18577349537174416,carried
18577349537174544,carried
18577349537174672,carried
18577349537174800,carried
18577349537174928,carried
18577349537175056,carried
18577349537175184,carried
18577349537175312,carried
18577349537175440,carried
18577350074044432,carried
18577350074044560,carried
18577350074044688,carried
18577350074044816,carried
18577350074044944,carried
18577350074045072,carried
18577350074045200,carried
18577350074045328,carried
18577350074045456,carried
18577350074045584,carried
18577350074045712,carried
18577350074045840,carried
18577350074045968,carried
18577350074046096,carried
18577350074046224,carried
18577350074046352,carried
18577350610915344,carried
18577350610915472,carried
18577350610915600,carried
18577350610915728,carried
18577350610915856,carried
18577350610915984,carried
18577350610916112,carried
18577350610916240,carried
18577350610916368,carried
18577350610916496,carried
18577350610916624,carried
18577350610916752,carried
18577350610916880,carried
18577350610917008,carried
18577350610917136,carried
18577350610917264,carried
18577351147784208,carried
18577351147784336,carried
18577351147784464,carried
18577351147784592,carried
18577351147784720,carried
18577351147784848,carried
18577351147784976,carried
18577351147785104,carried
18577351147785232,carried
18577351147785360,carried
18577351147785488,carried
18577351147785616,carried
18577351147785744,carried
18577351147785872,carried
18577351147786000,carried
18577351147786128,carried
18579548023558160,carried
18579548023558288,carried
18579548023558416,carried
18579548023558544,carried
18579548023558672,carried
18579548023558800,carried
18579548023558928,carried
18579548023559056,carried
18579548023559184,carried
18579548023559312,carried
18579548023559440,carried
18579548023559568,carried
18579548023559696,carried
18579548023559824,carried
18579548023559952,carried
18579548023560080,carried
18579548560429072,carried
18579548560429200,carried
18579548560429328,carried
18579548560429456,carried
18579548560429584,carried
18579548560429712,carried
18579548560429840,carried
18579548560429968,carried
18579548560430096,carried
18579548560430224,carried
18579548560430352,carried
18579548560430480,carried
