layout_BSND;2|1024|4|64,2|1024|2|64,2|1024|2|64,2|1024|4|64,,,,,2|4|1024|8,2|4|1024|8,,2|1024|4|64,,,,,,,,,,,,,,,;1,1,1,1,1,4,0,4,0,0,1,1,9,9,9,9,9,1,1,1,1,1,1,1,0,1,1;2|1024|4|64,2|1024|2|64,2|1024|2|64,,,,;1,1,1,1,1,1,0;scale_value=f:0.12500000&keep_prob=f:1.0&pre_tockens=i:65536&next_tockens=i:65536&head_num=i:4&input_layout=s:BSND&inner_precise=i:0&sparse_mode=i:0&pse_type=i:1&seed=i:2&offset=i:0&out_dtype=i:3&softmax_in_layout=s:;0
layout_BSH;2|1024|256,2|1024|128,2|1024|128,2|1024|256,,,,,2|4|1024|8,2|4|1024|8,,2|1024|256,,,,,,,,,,,,,,,;1,1,1,1,1,4,0,4,0,0,1,1,9,9,9,9,9,1,1,1,1,1,1,1,0,1,1;2|1024|256,2|1024|128,2|1024|128,,,,;1,1,1,1,1,1,0;scale_value=f:0.12500000&keep_prob=f:1.0&pre_tockens=i:65536&next_tockens=i:65536&head_num=i:4&input_layout=s:BSH&inner_precise=i:0&sparse_mode=i:0&pse_type=i:1&seed=i:2&offset=i:0&out_dtype=i:3&softmax_in_layout=s:;0
layout_SBH;1024|2|256,1024|2|128,1024|2|128,1024|2|256,,,,,2|4|1024|8,2|4|1024|8,,1024|2|256,,,,,,,,,,,,,,,;1,1,1,1,1,4,0,4,0,0,1,1,9,9,9,9,9,1,1,1,1,1,1,1,0,1,1;1024|2|256,1024|2|128,1024|2|128,,,,;1,1,1,1,1,1,0;scale_value=f:0.12500000&keep_prob=f:1.0&pre_tockens=i:65536&next_tockens=i:65536&head_num=i:4&input_layout=s:SBH&inner_precise=i:0&sparse_mode=i:0&pse_type=i:1&seed=i:2&offset=i:0&out_dtype=i:3&softmax_in_layout=s:;0
layout_BNSD;2|4|1024|64,2|2|1024|64,2|2|1024|64,2|4|1024|64,,,,,2|4|1024|8,2|4|1024|8,,2|4|1024|64,,,,,,,,,,,,,,,;1,1,1,1,1,4,0,4,0,0,1,1,9,9,9,9,9,1,1,1,1,1,1,1,0,1,1;2|4|1024|64,2|2|1024|64,2|2|1024|64,,,,;1,1,1,1,1,1,0;scale_value=f:0.12500000&keep_prob=f:1.0&pre_tockens=i:65536&next_tockens=i:65536&head_num=i:4&input_layout=s:BNSD&inner_precise=i:0&sparse_mode=i:0&pse_type=i:1&seed=i:2&offset=i:0&out_dtype=i:3&softmax_in_layout=s:;0
b_1;1|1024|4|64,1|1024|2|64,1|1024|2|64,1|1024|4|64,,,,,1|4|1024|8,1|4|1024|8,,1|1024|4|64,,,,,,,,,,,,,,,;1,1,1,1,1,4,0,4,0,0,1,1,9,9,9,9,9,1,1,1,1,1,1,1,0,1,1;1|1024|4|64,1|1024|2|64,1|1024|2|64,,,,;1,1,1,1,1,1,0;scale_value=f:0.12500000&keep_prob=f:1.0&pre_tockens=i:65536&next_tockens=i:65536&head_num=i:4&input_layout=s:BSND&inner_precise=i:0&sparse_mode=i:0&pse_type=i:1&seed=i:2&offset=i:0&out_dtype=i:3&softmax_in_layout=s:;0
b_2;2|1024|4|64,2|1024|2|64,2|1024|2|64,2|1024|4|64,,,,,2|4|1024|8,2|4|1024|8,,2|1024|4|64,,,,,,,,,,,,,,,;1,1,1,1,1,4,0,4,0,0,1,1,9,9,9,9,9,1,1,1,1,1,1,1,0,1,1;2|1024|4|64,2|1024|2|64,2|1024|2|64,,,,;1,1,1,1,1,1,0;scale_value=f:0.12500000&keep_prob=f:1.0&pre_tockens=i:65536&next_tockens=i:65536&head_num=i:4&input_layout=s:BSND&inner_precise=i:0&sparse_mode=i:0&pse_type=i:1&seed=i:2&offset=i:0&out_dtype=i:3&softmax_in_layout=s:;0
b_8;8|1024|4|64,8|1024|2|64,8|1024|2|64,8|1024|4|64,,,,,8|4|1024|8,8|4|1024|8,,8|1024|4|64,,,,,,,,,,,,,,,;1,1,1,1,1,4,0,4,0,0,1,1,9,9,9,9,9,1,1,1,1,1,1,1,0,1,1;8|1024|4|64,8|1024|2|64,8|1024|2|64,,,,;1,1,1,1,1,1,0;scale_value=f:0.12500000&keep_prob=f:1.0&pre_tockens=i:65536&next_tockens=i:65536&head_num=i:4&input_layout=s:BSND&inner_precise=i:0&sparse_mode=i:0&pse_type=i:1&seed=i:2&offset=i:0&out_dtype=i:3&softmax_in_layout=s:;0
b_32;32|1024|4|64,32|1024|2|64,32|1024|2|64,32|1024|4|64,,,,,32|4|1024|8,32|4|1024|8,,32|1024|4|64,,,,,,,,,,,,,,,;1,1,1,1,1,4,0,4,0,0,1,1,9,9,9,9,9,1,1,1,1,1,1,1,0,1,1;32|1024|4|64,32|1024|2|64,32|1024|2|64,,,,;1,1,1,1,1,1,0;scale_value=f:0.12500000&keep_prob=f:1.0&pre_tockens=i:65536&next_tockens=i:65536&head_num=i:4&input_layout=s:BSND&inner_precise=i:0&sparse_mode=i:0&pse_type=i:1&seed=i:2&offset=i:0&out_dtype=i:3&softmax_in_layout=s:;0
b_48;48|1024|4|64,48|1024|2|64,48|1024|2|64,48|1024|4|64,,,,,48|4|1024|8,48|4|1024|8,,48|1024|4|64,,,,,,,,,,,,,,,;1,1,1,1,1,4,0,4,0,0,1,1,9,9,9,9,9,1,1,1,1,1,1,1,0,1,1;48|1024|4|64,48|1024|2|64,48|1024|2|64,,,,;1,1,1,1,1,1,0;scale_value=f:0.12500000&keep_prob=f:1.0&pre_tockens=i:65536&next_tockens=i:65536&head_num=i:4&input_layout=s:BSND&inner_precise=i:0&sparse_mode=i:0&pse_type=i:1&seed=i:2&offset=i:0&out_dtype=i:3&softmax_in_layout=s:;0
s1_64;2|64|4|64,2|1024|2|64,2|1024|2|64,2|64|4|64,,,,,2|4|64|8,2|4|64|8,,2|64|4|64,,,,,,,,,,,,,,,;1,1,1,1,1,4,0,4,0,0,1,1,9,9,9,9,9,1,1,1,1,1,1,1,0,1,1;2|64|4|64,2|1024|2|64,2|1024|2|64,,,,;1,1,1,1,1,1,0;scale_value=f:0.12500000&keep_prob=f:1.0&pre_tockens=i:65536&next_tockens=i:65536&head_num=i:4&input_layout=s:BSND&inner_precise=i:0&sparse_mode=i:0&pse_type=i:1&seed=i:2&offset=i:0&out_dtype=i:3&softmax_in_layout=s:;0
s1_128;2|128|4|64,2|1024|2|64,2|1024|2|64,2|128|4|64,,,,,2|4|128|8,2|4|128|8,,2|128|4|64,,,,,,,,,,,,,,,;1,1,1,1,1,4,0,4,0,0,1,1,9,9,9,9,9,1,1,1,1,1,1,1,0,1,1;2|128|4|64,2|1024|2|64,2|1024|2|64,,,,;1,1,1,1,1,1,0;scale_value=f:0.12500000&keep_prob=f:1.0&pre_tockens=i:65536&next_tockens=i:65536&head_num=i:4&input_layout=s:BSND&inner_precise=i:0&sparse_mode=i:0&pse_type=i:1&seed=i:2&offset=i:0&out_dtype=i:3&softmax_in_layout=s:;0
